9sudoku,,,,,Averages,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,RF,,,GNB,,,MLP,,,SVM,,,,,,,,,,,,,,,,
0.972222222,0.985585308,0.724238623,,,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,,,,,,,,,,,,,,,
0.997169144,0.652173913,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997876858,0.7075,0.586335404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9985138,0.794545455,0.741176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998584572,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998584572,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exam_timetabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.971189362,0.885630499,0.870798004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.977950139,0.91328976,0.90483444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.988697166,0.955541719,0.951648892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.887313019,0.559617229,0.210941234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992465374,0.970562771,0.967974777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99985229,0.999425287,0.999423631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.999557032,0.998550725,0.998540146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,N,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.874045802,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872853186,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872882697,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872059095,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.874335106,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872022161,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.866469719,0.497118644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.756121884,0.433269841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.770321152,0.454405024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.815256659,0.751475632,0.444539092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
